Geneid	NORMAL_1	NORMAL_2	RESISTANT_1	RESISTANT_2	RESISTANT_2
388588	4	2	2	0	0
57470	331	331	150	127	127
9731	483	448	586	587	587
1677	85	58	47	32	32
339448	221	148	223	260	260
100133612	4	0	0	0	0
728716	1	1	0	0	0
284661	0	0	0	0	0
55966	23	12	40	25	25
100616489	0	0	0	0	0
100616421	0	0	0	0	0
261734	96	113	130	130	130
8514	329	244	56	47	47
26038	5	8	4	10	10
6146	3591	2084	2317	2012	2012
102724450	0	2	0	1	1
388591	147	107	201	171	171
23463	1017	840	89	104	104
148645	1	0	0	0	0
390992	0	0	0	0	0
387509	110	197	4	6	6
11332	125	173	62	37	37
54626	20	34	4	0	0
83715	7	4	26	16	16
100422975	0	0	0	0	0
8718	116	65	145	117	117
57449	154	103	594	568	568
79707	178	154	416	353	353
80835	4	3	0	8	8
3104	205	178	141	142	142
9903	377	656	29	38	38
148479	192	200	133	118	118
90326	72	86	47	48	48
55735	296	217	338	412	412
100505887	0	0	0	0	0
23261	159	157	226	260	260
9341	1467	1190	282	203	203
8863	204	651	595	677	677
10911	2	2	0	6	6
3604	40	19	0	4	4
11315	1201	949	1760	1756	1756
54206	469	1176	1048	1005	1005
102724539	0	0	0	0	0
50651	7	18	2	8	8
473	1444	1047	2675	2404	2404
102724552	0	3	0	1	1
2023	5024	3550	3109	3104	3104
102465436	0	0	0	0	0
100505975	0	0	0	0	0
765	0	0	0	2	2
155184	0	0	0	0	0
6518	48	34	8	4	4
80045	108	73	25	30	30
407040	0	0	10	8	8
9563	1552	775	880	864	864
80176	199	293	25	28	28
100506022	12	23	0	0	0
84275	60	74	35	37	37
199953	69	85	57	47	47
5293	572	326	187	172	172
644997	4	2	8	8	8
101929074	6	8	0	0	0
22883	1488	1307	965	1025	1025
56998	227	198	26	37	37
84328	232	143	187	224	224
64802	133	98	14	17	17
100847055	0	0	0	0	0
105376719	0	0	0	0	0
116362	21	73	21	20	20
10277	806	609	1434	1313	1313
23095	619	628	2578	2319	2319
100422970	0	0	0	0	0
5226	1274	673	567	481	481
100526739	0	0	0	0	0
378708	7	2	0	0	0
1325	0	0	0	0	0
1676	271	158	84	87	87
5195	129	311	325	343	343
54897	122	262	838	692	692
148345	1	2	0	0	0
23435	1688	1143	2170	2093	2093
10747	19	12	111	108	108
6723	283	323	58	43	43
5394	554	439	801	818	818
2475	759	696	1725	1700	1700
100873935	0	0	0	3	3
10218	2	35	67	77	77
29914	233	163	291	272	272
57540	4	2	6	10	10
101929181	0	0	0	0	0
26232	36	7	4	6	6
93611	145	118	71	42	42
26270	149	67	67	59	59
10459	127	83	50	59	59
374946	0	0	0	0	0
57085	174	173	50	56	56
284498	0	1	0	2	2
102724659	0	0	0	0	0
4524	371	300	334	279	279
1185	173	216	250	255	255
100379251	9	2	1	1	1
4878	0	0	6	8	8
4879	0	0	0	0	0
26829	0	0	0	2	2
90231	408	531	105	123	123
5351	878	998	392	382	382
9927	1354	1375	1714	1647	1647
60672	98	104	56	65	65
102466982	0	0	0	0	0
943	35	29	0	2	2
102465836	0	0	0	0	0
7133	901	895	50	57	57
100616438	0	0	0	0	0
55187	1346	550	5881	5553	5553
677885	3	1	8	9	9
9249	949	458	823	796	796
102466722	0	1	0	0	0
343066	0	0	0	0	0
126767	0	0	0	0	0
93190	0	0	0	0	0
390999	0	0	0	0	0
65121	0	0	0	0	0
440560	0	0	0	0	0
343069	0	1	0	2	2
65122	0	0	2	2	2
400735	0	0	0	0	0
343071	0	0	0	0	0
441871	0	0	0	0	0
440561	0	0	0	0	0
653606	0	0	0	0	0
102724742	0	0	0	0	0
101929983	0	0	0	0	0
649330	0	0	0	0	0
441873	0	0	0	0	0
649324	0	0	0	0	0
440563	0	0	0	0	0
645354	0	0	0	0	0
645359	0	0	0	0	0
101060301	0	0	0	0	0
343070	0	0	0	0	0
400736	0	0	0	0	0
391003	0	0	0	0	0
343068	0	0	0	0	0
391002	0	0	0	0	0
645382	0	0	0	0	0
653619	0	0	0	0	0
729528	0	0	0	0	0
645414	0	0	0	0	0
391004	0	0	0	0	0
645425	0	0	0	0	0
126755	0	2	0	2	2
10630	921	724	29	42	42
7799	1098	723	1385	1303	1303
23254	151	256	67	67	67
200197	154	19	3	3	3
55092	558	226	335	310	310
727684	0	0	475	516	516
114827	24	12	329	259	259
101927417	5	3	0	0	0
79180	1088	507	1131	1008	1008
11330	0	0	25	22	22
63036	2	0	3	4	4
51032	0	1	52	61	61
842	151	164	116	152	152
23341	419	223	464	459	459
79814	48	12	43	25	25
84301	122	45	476	398	398
6248	96	41	174	178	178
23207	614	767	361	367	367
284723	9	25	0	4	4
388595	0	0	0	0	0
54751	896	722	108	92	92
440567	59	23	80	37	37
729614	22	26	0	2	2
23013	1260	639	2987	2805	2805
7709	124	193	116	115	115
101928566	0	0	0	0	0
149563	0	0	0	0	0
27129	127	1136	0	0	0
1187	4	0	6	8	8
1188	0	5	3	2	2
348487	0	2	0	0	0
1969	589	1507	1642	1754	1754
128272	127	84	74	63	63
101927546	0	1	0	0	0
79363	13	22	2	2	2
54455	252	230	340	348	348
26099	1255	1160	263	229	229
374955	0	0	15	12	12
55707	851	529	176	208	208
114819	23	11	30	27	27
26871	1	0	0	0	0
100126512	0	0	0	0	0
100126517	0	0	0	0	0
102724970	0	1	0	1	1
100133301	0	0	0	0	0
7195	0	0	0	0	0
55672	117	92	1442	1242	1242
84809	93	128	43	27	27
11209	15	14	135	104	104
26869	0	0	0	0	0
729574	0	0	0	0	0
100126533	0	0	0	0	0
284729	0	0	2	4	4
100189045	0	0	0	0	0
102723383	0	0	0	0	0
6060	0	0	0	0	0
11223	10	2	6	6	6
100500876	0	0	0	0	0
100189298	0	0	0	0	0
7193	0	0	0	0	0
791226	0	0	0	0	0
9696	82	74	190	143	143
26870	0	0	0	0	0
4237	108	204	50	52	52
23400	282	275	473	484	484
6390	531	374	800	753	753
11240	97	65	4	12	12
29943	33	56	32	44	44
51702	454	490	731	766	766
100616188	1	1	0	0	0
23569	17	13	6	2	2
353238	0	0	0	0	0
55920	1136	720	744	796	796
55160	577	569	839	826	826
81569	0	0	0	0	0
101927876	0	0	0	0	0
84966	8	52	2	0	0
127707	534	44	25	32	32
5081	0	0	0	0	0
80834	0	0	0	4	4
8659	723	325	157	136	136
100616120	0	0	0	0	0
100302276	0	0	2	2	2
126917	295	295	59	56	56
23352	1945	1375	8085	7703	7703
23065	525	368	450	482	482
51154	212	128	92	71	71
246181	0	0	7	20	20
22977	0	2	25	28	28
100506730	10	18	0	2	2
8574	246	211	298	345	345
54896	81	77	33	38	38
832	2291	2036	877	891	891
100532736	0	0	0	0	0
440574	257	179	63	60	60
644068	8	6	31	45	45
4681	1	0	11	13	13
3362	2	2	2	2	2
255104	292	210	184	140	140
54546	2	0	0	0	0
23252	154	130	77	68	68
30814	0	0	0	0	0
5320	346	1479	164	145	145
5322	20	163	0	0	0
26279	116	81	0	4	4
64600	133	28	165	165	165
391013	0	1	0	4	4
127733	105	70	53	47	47
101928017	0	6	0	0	0
127731	132	9	139	175	175
339505	0	0	0	0	0
55450	536	225	184	135	135
79594	314	380	49	48	48
163933	2	2	0	0	0
978	20	23	0	2	2
65018	162	192	340	316	316
102464833	0	0	0	0	0
100861548	35	10	8	9	9
1650	1925	1411	1124	1007	1007
57576	8	30	0	4	4
400745	0	0	0	0	0
50809	2143	1685	1357	1226	1226
8672	1140	1089	2253	2191	2191
100302155	0	0	0	0	0
1889	1516	1646	725	626	626
100506801	8	7	2	4	4
84224	169	87	443	467	467
249	123	141	70	68	68
5909	184	32	325	331	331
84196	879	506	1340	1240	1240
401944	7	21	15	10	10
3339	1434	3808	2456	2562	2562
23436	0	0	0	0	0
10136	0	0	0	0	0
101928043	1	2	0	0	0
29092	94	90	0	0	0
998	3504	2009	1867	1779	1779
54361	107	35	53	65	65
100616433	0	0	0	0	0
9923	492	398	1252	1195	1195
2046	0	0	0	0	0
102466615	0	0	0	0	0
712	1107	1242	197	177	177
714	1186	1403	139	158	158
713	1209	1844	241	237	237
2048	161	172	86	81	81
100616391	0	0	0	0	0
100422914	0	0	0	0	0
646262	0	0	0	0	0
729059	0	0	0	0	0
23028	909	483	1302	1259	1259
100422866	0	0	6	4	4
100616177	0	0	0	0	0
7798	890	514	515	482	482
3352	3	1	0	0	0
100996511	30	8	0	4	4
10236	1712	941	1739	1647	1647
80818	600	313	190	200	200
148898	21	9	17	29	29
6920	84	245	170	131	131
55616	247	294	101	94	94
1870	68	40	5	2	2
101928163	0	0	0	0	0
3399	389	578	112	95	95
259283	1	1	0	0	0
6135	4488	3134	8530	8084	8084
6924	611	398	741	676	676
100506963	3	5	0	0	0
57095	305	269	236	253	253
11313	572	342	280	275	275
2582	181	143	242	288	288
3155	344	315	297	287	287
2517	1653	880	992	871	871
1269	37	12	4	0	0
100616492	0	0	0	0	0
55629	1875	1270	726	774	774
10772	1202	748	534	507	507
127294	4	8	3	0	0
58985	11	1	3	1	1
163702	114	25	30	28	28
284632	0	0	0	0	0
57822	746	199	471	414	414
90529	109	42	82	101	101
57185	629	244	181	179	179
100750325	0	3	0	0	0
11123	317	65	73	75	75
100506985	77	5	0	0	0
400746	20	21	0	0	0
10250	965	646	3441	3366	3366
25932	2932	5686	100	85	85
864	299	240	18	12	12
102465437	0	0	0	0	0
100616365	0	0	0	0	0
25949	725	321	635	673	673
57035	727	532	811	759	759
6007	17	10	162	140	140
23585	407	234	368	403	403
6006	0	2	57	72	72
55219	364	257	411	387	387
26119	262	208	186	199	199
57134	209	457	53	64	64
57190	1218	1389	767	755	755
56181	295	364	146	134	134
646471	42	26	24	41	41
79000	13	5	14	14	14
164091	490	202	75	91	91
3925	678	354	429	450	450
100500808	0	0	0	0	0
5051	351	171	39	60	60
2134	2	10	2	6	6
7780	11	4	2	8	8
105376910	0	0	0	0	0
84676	0	48	0	0	0
149420	282	153	98	97	97
79927	10	31	0	0	0
105376887	0	0	0	0	0
51042	28	34	21	15	15
10256	234	85	1573	1603	1603
378807	0	0	9	9	9
101928303	2	0	0	0	0
64793	129	108	141	177	177
83442	996	977	109	115	115
91544	110	140	118	130	130
1043	237	86	31	40	40
55057	121	57	151	161	161
257101	12	4	6	26	26
79727	0	0	0	0	0
79947	384	277	349	344	344
101928324	0	2	2	4	4
3151	1629	907	1464	1414	1414
6195	561	327	308	283	283
100302190	0	0	1	0	0
101928728	12	3	0	0	0
8289	1285	847	4216	4055	4055
55650	221	129	120	112	112
84243	385	315	127	128	128
2810	391	531	118	109	109
54707	137	107	77	49	49
63906	97	69	78	75	75
10726	397	363	700	656	656
8431	0	0	2	2	2
126695	74	32	46	51	51
388610	307	87	2	0	0
115572	16	198	4	5	5
6548	590	464	514	451	451
23038	654	589	317	321	321
84065	251	248	55	56	56
644961	13	9	26	46	46
100887744	0	0	0	0	0
84958	250	153	353	356	356
9064	121	371	158	186	186
8547	12	26	0	0	0
388611	0	0	0	1	1
2827	5	8	14	18	18
10163	1886	1385	1392	1547	1547
27245	156	220	150	135	135
2268	286	259	24	33	33
2537	120	68	43	25	25
199870	112	123	90	99	99
23673	861	644	301	284	284
5511	518	385	180	173	173
677774	0	0	328	283	283
9473	304	305	43	36	36
6118	448	303	155	138	138
27293	48	42	16	26	26
55113	105	115	2	10	10
2140	442	226	554	483	483
5724	475	248	36	28	28
22826	796	737	820	803	803
93974	300	154	247	234	234
83667	229	186	46	35	35
54797	160	64	36	29	29
65979	534	423	1086	981	981
1104	363	213	157	112	112
8420	165	92	10	13	13
6080	4	1	24701	24229	24229
26768	3	1	33912	32941	32941
54952	170	117	151	169	169
85028	53	42	6	5	5
692212	2	1	29	25	25
677838	10	5	396	379	379
677825	8	7	73	84	84
692073	8	3	26	21	21
115273	22	17	0	2	2
6883	173	191	105	69	69
26824	0	3	4	1	1
10691	144	77	174	137	137
105376911	0	0	1	3	3
51441	913	543	605	621	621
4985	0	0	0	0	0
2035	1066	410	2222	2274	2274
399474	82	111	2	0	0
6429	777	717	1220	1320	1320
51102	105	84	84	122	122
10076	810	269	1403	1405	1405
101928460	0	0	0	0	0
101929406	0	0	0	0	0
4146	1	5	2	0	0
100129196	7	9	0	0	0
7805	3200	2278	251	251	251
100616164	0	0	0	0	0
400748	0	0	0	0	0
9672	871	1574	56	54	54
9698	1245	825	1520	1597	1597
692234	0	0	0	0	0
692235	2	2	11	5	5
692200	0	0	13	12	12
79570	0	4	0	0	0
9410	285	192	274	272	272
51538	294	209	257	274	274
2170	46	118	67	74	74
347735	2866	665	1488	1464	1464
149086	0	0	10	8	8
284551	3	2	0	0	0
64129	647	801	655	681	681
3061	0	1	9	20	20
553115	439	523	79	109	109
1307	610	1502	81	106	106
576	37	38	43	45	45
100423028	0	0	0	0	0
90853	342	84	554	577	577
8073	3766	2161	977	999	999
10657	1765	1058	793	730	730
55116	139	139	68	53	53
100847018	0	0	0	0	0
23633	837	510	446	407	407
200081	1006	613	284	263	263
79140	29	34	41	30	30
56063	53	44	57	44	44
55721	24	24	65	90	90
149069	5	4	47	48	48
8668	1357	1027	485	415	415
339483	49	106	0	0	0
84734	32	42	1	2	2
3932	400	173	31	36	36
3065	1567	847	813	849	849
65108	1027	590	42	61	61
100128071	2	0	0	2	2
81629	21	18	86	78	78
55108	884	652	259	249	249
728116	7	0	2	6	6
653121	134	143	106	78	78
339487	150	77	239	252	252
5928	1147	606	1165	1014	1014
81493	45	158	8	4	4
57648	1728	360	777	681	681
8565	506	539	536	441	441
64766	341	245	296	259	259
252995	16	27	2	2	2
3208	0	0	0	0	0
113452	281	214	36	39	39
127544	462	380	322	269	269
204	1101	672	4686	4666	4666
113451	24	30	27	23	23
55223	185	88	78	55	55
149076	197	295	325	359	359
127550	0	0	7	1	1
1912	863	854	206	169	169
100500853	0	0	1	0	0
101929464	0	1	0	0	0
7579	97	51	60	52	52
114784	31	28	32	36	36
127540	0	0	0	0	0
402779	0	0	0	0	0
84970	0	0	0	2	2
693137	0	0	0	0	0
2709	87	41	41	33	33
127534	87	48	122	107	107
2707	90	70	188	154	154
2701	81	195	14	6	6
113444	266	176	58	56	56
58512	4	3	6	11	11
653160	10	4	4	14	14
100506144	224	144	12	20	20
9204	368	229	926	981	981
79830	150	112	334	310	310
6421	2084	1219	5761	5600	5600
9202	877	495	2443	2203	2203
79932	836	492	814	806	806
23154	222	168	46	44	44
339488	2	3	60	64	64
5690	733	634	497	437	437
127703	118	133	4	18	18
63967	50	23	159	157	157
192670	492	351	829	829	829
26523	442	266	387	453	453
192669	153	123	475	499	499
27285	1	0	6	10	10
54936	204	153	43	35	35
1296	116	303	20	14	14
27095	369	297	67	134	134
55700	604	1046	336	337	337
9967	1596	1063	1538	1469	1469
79729	37	27	184	192	192
55194	15	9	15	10	10
83931	396	639	85	88	88
84967	148	146	31	38	38
127700	48	24	56	40	40
64960	177	210	156	190	190
1441	691	272	115	134	134
2899	9	21	6	2	2
100422898	0	0	0	0	0
728431	60	21	0	0	0
80149	791	640	394	338	338
102465438	3	1	0	0	0
64769	501	422	285	308	308
100847010	4	1	0	0	0
79753	202	130	126	85	85
7802	37	72	17	18	18
29889	417	338	741	672	672
284654	61	15	0	2	2
54955	194	116	18	27	27
55143	95	35	102	132	132
284656	7	2	26	14	14
149175	41	37	81	87	87
79693	134	127	23	46	46
127687	92	63	10	24	24
4520	424	222	382	328	328
3633	275	389	270	317	317
10946	737	492	789	712	712
2275	184	229	24	39	39
51118	323	306	278	291	291
5453	1	5	6	2	2
100500801	0	0	0	0	0
339442	0	0	0	0	0
64121	417	337	403	360	360
100527950	0	0	12	10	10
26292	0	0	0	0	0
81025	0	0	0	0	0
54933	191	49	270	319	319
79647	793	645	273	220	220
4725	472	269	822	712	712
23499	2842	1761	7596	7500	7500
643314	228	118	1037	954	954
105378950	0	0	0	0	0
353500	54	23	16	2	2
728448	57	13	7	7	7
8761	1493	1020	1111	1068	1068
101929516	1	0	0	0	0
677834	2	4	94	63	63
26508	116	207	2	8	8
84618	0	0	0	0	0
51440	14	0	0	0	0
10450	375	322	257	270	270
656	71	23	16	12	12
64064	4	0	0	10	10
105378951	0	0	0	0	0
101929536	0	0	0	0	0
54802	268	91	395	310	310
4610	1081	92	213	206	206
84879	83	132	105	192	192
10487	4146	3075	1624	1541	1541
5538	1424	1195	399	419	419
6018	352	275	928	829	829
127391	4	0	0	0	0
10269	887	739	453	449	449
1298	153	91	203	196	196
64744	947	736	256	201	201
65243	33	10	109	83	83
339559	38	38	185	203	203
64789	91	54	76	75	75
127396	37	37	23	49	49
9783	75	110	12	17	17
100130557	29	11	1	1	1
4802	394	347	455	508	508
407034	0	0	2	0	0
407031	0	0	0	0	0
9132	14	136	10	12	12
163732	17	7	2	0	0
1503	255	347	291	272	272
100507178	8	4	0	2	2
200172	2	4	0	6	6
22955	421	464	592	611	611
100132074	15	5	6	4	4
1907	0	0	0	4	4
59269	138	65	111	147	147
2981	0	0	0	0	0
2980	0	0	0	2	2
22887	746	451	794	694	694
284716	9	22	9	9	9
84217	20	13	8	10	10
79717	437	279	359	345	345
728621	30	17	81	70	70
10465	124	40	151	139	139
4904	3476	3450	2847	2770	2770
149461	4	2	0	3	3
64175	331	455	168	136	136
79078	41	41	33	36	36
100129924	0	0	13	11	11
374969	77	40	31	22	22
114625	282	110	170	153	153
51058	92	47	52	54	54
339539	0	0	0	0	0
6513	845	729	924	919	919
440584	2	1	0	0	0
105378684	0	2	0	0	0
440585	8	1	28	33	33
10969	399	250	204	222	222
102465439	0	0	0	0	0
149465	16	6	12	12	12
128218	53	4	8	10	10
149466	60	9	16	9	9
7075	180	527	19	41	41
4352	6	8	21	10	10
991	113	50	76	53	53
64834	770	509	426	478	478
102466723	0	0	2	1	1
112950	198	193	72	65	65
23334	500	367	1618	1543	1543
102465440	0	0	0	0	0
81888	0	2	0	0	0
5792	2705	1022	3337	3078	3078
9682	671	461	888	884	884
100132774	4	0	2	0	0
6487	55	134	168	184	184
101929592	0	0	2	2	2
102464830	0	0	0	0	0
9048	4	7	4	0	0
9670	274	331	202	227	227
1802	221	169	58	41	41
533	506	406	170	179	179
8704	224	432	158	122	122
149473	75	52	94	94	94
6536	73	110	23	35	35
128209	5	17	0	0	0
105378952	0	0	0	0	0
55929	186	150	122	129	129
79033	231	267	160	191	191
100874278	9	2	2	2	2
55182	426	442	255	218	218
100847089	0	0	0	0	0
79639	56	30	2	16	16
339541	17	15	4	8	8
26828	0	1	4	0	0
26830	0	1	0	0	0
11004	95	30	117	141	141
6202	8583	4997	1977	1943	1943
26811	0	0	1	3	3
94161	0	0	11	28	28
94162	4	1	9	12	12
94163	1	3	2	7	7
266675	3	2	2	1	1
1263	114	212	169	218	218
343521	1	2	2	2	2
149478	11	26	38	48	48
8643	10	98	13	14	14
8891	179	161	245	252	252
79654	493	464	359	276	276
7389	299	306	340	303	303
57643	36	58	66	78	78
400752	8	1	0	0	0
84842	7	4	6	0	0
4595	99	68	223	232	232
114034	77	84	84	80	80
10420	101	101	99	90	90
126661	37	31	11	6	6
25974	64	48	41	32	32
5052	2047	1512	643	647	647
10327	722	576	269	277	277
4678	676	566	1040	1000	1000
149483	4	13	80	57	57
60313	1386	1052	760	730	730
728963	3	0	15	9	9
51249	401	220	165	213	213
3652	157	93	206	221	221
23139	315	698	574	515	515
8503	729	549	366	372	372
101929626	0	0	0	0	0
10103	650	623	382	381	381
55624	543	347	993	1016	1016
541468	5	13	0	0	0
8438	28	11	258	279	279
10489	623	698	304	311	311
7388	752	370	430	458	458
387338	308	190	119	121	121
2166	198	99	468	519	519
729041	1	2	0	0	0
101929651	0	0	0	0	0
127343	0	0	0	0	0
100507423	5	0	4	3	3
148930	0	0	0	0	0
8569	322	271	366	360	360
148932	271	227	179	170	170
64756	372	315	140	133	133
374973	0	0	25	52	52
100130197	1	0	5	2	2
9813	2520	1450	1193	1039	1039
1580	1267	481	551	555	555
163720	22	10	326	309	309
1579	0	0	275	229	229
260293	83	65	242	218	218
199974	0	5	66	81	81
284541	0	0	23	50	50
100874253	0	0	0	0	0
10158	281	90	8	6	6
6886	37	74	2	4	4
6491	70	59	368	349	349
51727	2023	1697	652	650	650
102724077	0	1	0	0	0
2301	0	0	0	0	0
84793	8	8	0	0	0
2306	12	1	12	30	30
388630	94	75	2	0	0
391037	0	0	0	0	0
200010	7	11	37	38	38
54558	133	103	246	259	259
84871	2	0	9	8	8
79656	25	33	32	37	37
101929721	0	0	0	0	0
100874313	0	0	0	0	0
1996	0	2	2	3	3
63950	2	2	0	0	0
11124	361	361	781	725	725
1031	118	124	52	52	52
100616189	0	1	0	0	0
102466656	0	0	0	0	0
284546	0	0	2	4	4
26994	1317	1206	316	309	309
22996	171	91	130	158	158
102724097	0	0	2	1	1
2060	1191	950	1552	1686	1686
114883	949	575	1261	1329	1329
4898	1346	1007	2341	2352	2352
100313892	0	0	0	0	0
5865	42	6	0	6	6
51060	615	465	313	302	302
112970	0	0	0	0	0
104355143	0	0	0	0	0
91408	696	399	191	177	177
9372	590	226	931	890	890
200014	392	278	328	279	279
4998	44	18	96	106	106
84950	450	327	337	352	352
23318	600	382	2363	2072	2072
105378722	1	0	0	0	0
2882	141	98	16	18	18
348378	2	4	4	2	2
65260	140	93	68	48	48
79699	629	441	401	391	391
440590	3	6	20	24	24
55268	370	229	534	548	548
6342	1993	1174	1971	1971	1971
100616156	0	0	0	0	0
100616458	0	0	0	0	0
100616145	0	0	0	0	0
127435	641	2048	44	44	44
6512	18	47	10	2	2
1376	337	260	506	458	458
54987	263	293	42	36	36
4116	211	92	361	402	402
100507564	6	2	0	0	0
7804	63	45	230	183	183
163742	0	0	0	0	0
63948	0	0	0	0	0
148979	12	21	0	0	0
105369175	0	0	0	0	0
55706	388	171	419	286	286
54432	364	233	199	163	163
1733	0	0	21	20	20
51668	175	90	285	292	292
115353	249	181	191	162	162
388633	0	0	0	0	0
9528	3112	1640	1546	1482	1482
127428	195	90	49	33	33
100616315	0	0	0	0	0
200008	0	2	0	0	0
606495	70	36	14	18	18
51253	357	357	224	183	183
23648	166	286	235	198	198
619518	11	11	2	1	1
26027	162	86	220	195	195
338094	6	2	25	29	29
374977	1	1	7	16	16
100527960	0	0	9	4	4
7268	7	6	3	3	3
25973	74	23	16	7	7
55001	108	53	92	92	92
163747	1	0	4	2	2
1718	530	244	240	256	256
100126514	0	0	0	0	0
199964	0	6	2	0	0
7809	0	0	0	0	0
255738	6	22	0	0	0
23358	1097	578	2932	3085	3085
100507634	4	2	0	0	0
100616272	0	0	0	0	0
8613	1361	2213	125	133	133
5563	80	101	37	30	30
199920	2	0	6	0	0
731	0	0	0	0	0
732	2	0	0	0	0
1600	11	6	14	8	8
101926890	0	0	0	0	0
115209	225	166	394	429	429
4070	3110	726	1022	983	983
114803	548	326	1066	1082	1082
3725	873	2267	694	706	706
100131060	0	0	4	0	0
101926925	7	2	0	0	0
729467	0	0	0	0	0
55277	155	44	154	164	164
100616409	0	0	0	0	0
101926944	2	3	0	0	0
51361	270	67	269	258	258
1573	118	25	190	157	157
127795	13	0	0	0	0
101926964	0	0	0	0	0
100996570	0	1	0	0	0
4774	513	612	759	714	714
645030	0	0	0	0	0
414927	0	0	0	0	0
83941	229	142	356	292	292
10207	602	194	6059	5799	5799
100422902	0	0	0	0	0
100422946	0	0	0	0	0
54596	0	6	4	4	4
163782	3	11	0	0	0
7398	528	379	497	441	441
85440	418	255	1355	1366	1366
27329	0	0	272	246	246
84938	190	187	106	122	122
199899	0	0	0	0	0
100996301	0	0	0	0	0
27022	4	3	0	0	0
102464823	0	0	0	0	0
29929	173	86	454	500	500
23421	177	81	161	160	160
84455	113	83	158	136	136
79469	3	1	14	4	4
5236	543	481	554	531	531
4919	101	217	42	33	33
101927034	2	5	0	0	0
148581	0	0	0	0	0
57685	165	290	345	359	359
100616338	0	0	0	0	0
55225	141	233	275	238	238
3716	3376	2201	2093	1840	1840
101927084	0	0	1	2	2
105378775	0	0	0	0	0
100500854	1	1	0	0	0
406893	0	0	0	2	2
205	279	378	24	18	18
9829	17	33	51	50	50
54741	1740	1429	172	128	128
3953	358	419	265	266	266
5142	474	868	57	73	73
101927139	0	0	0	0	0
84251	81	121	46	50	50
100422871	0	0	0	0	0
200132	20	8	6	3	3
10022	0	0	0	0	0
79819	34	24	104	77	77
57708	934	444	1139	1062	1062
23169	572	280	545	541	541
400757	0	0	0	0	0
149233	20	4	22	20	20
3595	25	27	155	161	161
26135	2886	1886	1243	1260	1260
1647	270	303	131	117	117
55970	1775	2118	42	50	50
100289178	4	6	0	0	0
9077	15	38	6	4	4
79971	935	1153	305	228	228
