Geneid,N2,N2,R1,R2
PTAFR,475,248,36,28
DNAJC8,796,737,820,803
ATP5IF1,300,154,247,234
SESN2,229,186,46,35
MED18,160,64,36,29
PHACTR4,534,423,1086,981
RCC1,363,213,157,112
SNHG3,165,92,10,13
SNORA73A,4,1,24701,24229
SNORA73B,3,1,33912,32941
TRNAU1AP,170,117,151,169
SNHG12,53,42,6,5
SNORD99,2,1,29,25
SNORA61,10,5,396,379
SNORA44,8,7,73,84
SNORA16A,8,3,26,21
RAB42,22,17,0,2
TAF12,173,191,105,69
RNU11,0,3,4,1
GMEB1,144,77,174,137
NA,0,0,1,3
YTHDF2,913,543,605,621
OPRD1,0,0,0,0
EPB41,1066,410,2222,2274
TMEM200B,82,111,2,0
SRSF4,777,717,1220,1320
MECR,105,84,84,122
PTPRU,810,269,1403,1405
LINC01756,0,0,0,0
LINC01648,0,0,0,0
MATN1,1,5,2,0
MATN1-AS1,7,9,0,0
LAPTM5,3200,2278,251,251
MIR4420,0,0,0,0
LOC400748,0,0,0,0
SDC3,871,1574,56,54
PUM1,1245,825,1520,1597
SNORD103A,0,0,0,0
SNORD103B,2,2,11,5
SNORD103C,0,0,13,12
NKAIN1,0,4,0,0
SNRNP40,285,192,274,272
ZCCHC17,294,209,257,274
FABP3,46,118,67,74
SERINC2,2866,665,1488,1464
LDC1P,0,0,10,8
LINC01226,3,2,0,0
TINAGL1,647,801,655,681
HCRTR1,0,1,9,20
PEF1,439,523,79,109
COL16A1,610,1502,81,106
ADGRB2,37,38,43,45
MIR4254,0,0,0,0
SPOCD1,342,84,554,577
PTP4A2,3766,2161,977,999
KHDRBS1,1765,1058,793,730
TMEM39B,139,139,68,53
MIR5585,0,0,0,0
KPNA6,837,510,446,407
TXLNA,1006,613,284,263
CCDC28B,29,34,41,30
TMEM234,53,44,57,44
IQCC,24,24,65,90
DCDC2B,5,4,47,48
EIF3I,1357,1027,485,415
MTMR9LP,49,106,0,0
FAM167B,32,42,1,2
LCK,400,173,31,36
HDAC1,1567,847,813,849
MARCKSL1,1027,590,42,61
FAM229A,2,0,0,2
TSSK3,21,18,86,78
BSDC1,884,652,259,249
ZBTB8B,7,0,2,6
ZBTB8A,134,143,106,78
ZBTB8OS,150,77,239,252
RBBP4,1147,606,1165,1014
SYNC,45,158,8,4
KIAA1522,1728,360,777,681
YARS1,506,539,536,441
S100PBP,341,245,296,259
FNDC5,16,27,2,2
HPCA,0,0,0,0
TMEM54,281,214,36,39
RNF19B,462,380,322,269
AK2,1101,672,4686,4666
AZIN2,24,30,27,23
TRIM62,185,88,78,55
ZNF362,197,295,325,359
A3GALT2,0,0,7,1
PHC2,863,854,206,169
MIR3605,0,0,1,0
PHC2-AS1,0,1,0,0
ZSCAN20,97,51,60,52
CSMD2,31,28,32,36
HMGB4,0,0,0,0
CSMD2-AS1,0,0,0,0
C1orf94,0,0,0,2
MIR552,0,0,0,0
GJB5,87,41,41,33
GJB4,87,48,122,107
GJB3,90,70,188,154
GJA4,81,195,14,6
SMIM12,266,176,58,56
DLGAP3,4,3,6,11
GPR199P,10,4,4,14
TMEM35B,224,144,12,20
ZMYM6,368,229,926,981
ZMYM1,150,112,334,310
SFPQ,2084,1219,5761,5600
ZMYM4,877,495,2443,2203
KIAA0319L,836,492,814,806
NCDN,222,168,46,44
TFAP2E,2,3,60,64
PSMB2,733,634,497,437
C1orf216,118,133,4,18
CLSPN,50,23,159,157
AGO4,492,351,829,829
AGO1,442,266,387,453
AGO3,153,123,475,499
TEKT2,1,0,6,10
ADPRS,204,153,43,35
COL8A2,116,303,20,14
TRAPPC3,369,297,67,134
MAP7D1,604,1046,336,337
THRAP3,1596,1063,1538,1469
SH3D21,37,27,184,192
EVA1B,15,9,15,10
STK40,396,639,85,88
LSM10,148,146,31,38
OSCP1,48,24,56,40
MRPS15,177,210,156,190
CSF3R,691,272,115,134
GRIK3,9,21,6,2
MIR4255,0,0,0,0
LINC01137,60,21,0,0
ZC3H12A,791,640,394,338
MIR6732,3,1,0,0
MEAF6,501,422,285,308
MIR5581,4,1,0,0
SNIP1,202,130,126,85
DNALI1,37,72,17,18
GNL2,417,338,741,672
RSPO1,61,15,0,2
C1orf109,194,116,18,27
CDCA8,95,35,102,132
EPHA10,7,2,26,14
MANEAL,41,37,81,87
YRDC,134,127,23,46
C1orf122,92,63,10,24
MTF1,424,222,382,328
INPP5B,275,389,270,317
SF3A3,737,492,789,712
FHL3,184,229,24,39
UTP11,323,306,278,291
POU3F1,1,5,6,2
MIR3659,0,0,0,0
LINC01343,0,0,0,0
RRAGC,417,337,403,360
GJA9-MYCBP,0,0,12,10
MYCBP,0,0,0,0
GJA9,0,0,0,0
RHBDL2,191,49,270,319
AKIRIN1,793,645,273,220
NDUFS5,472,269,822,712
MACF1,2842,1761,7596,7500
KIAA0754,228,118,1037,954
NA,0,0,0,0
BMP8A,54,23,16,2
PPIEL,57,13,7,7
PABPC4,1493,1020,1111,1068
PABPC4-AS1,1,0,0,0
SNORA55,2,4,94,63
HEYL,116,207,2,8
NT5C1A,0,0,0,0
HPCAL4,14,0,0,0
PPIE,375,322,257,270
BMP8B,71,23,16,12
OXCT2,4,0,0,10
LOC105378951,0,0,0,0
LOC101929536,0,0,0,0
TRIT1,268,91,395,310
MYCL,1081,92,213,206
MFSD2A,83,132,105,192
CAP1,4146,3075,1624,1541
PPT1,1424,1195,399,419
RLF,352,275,928,829
TMCO2,4,0,0,0
ZMPSTE24,887,739,453,449
COL9A2,153,91,203,196
SMAP2,947,736,256,201
ZFP69B,33,10,109,83
ZFP69,38,38,185,203
EXO5,91,54,76,75
ZNF684,37,37,23,49
RIMS3,75,110,12,17
NFYC-AS1,29,11,1,1
NFYC,394,347,455,508
MIR30E,0,0,2,0
MIR30C1,0,0,0,0
KCNQ4,14,136,10,12
CITED4,17,7,2,0
CTPS1,255,347,291,272
SLFNL1-AS1,8,4,0,2
SLFNL1,2,4,0,6
SCMH1,421,464,592,611
FOXO6,15,5,6,4
EDN2,0,0,0,4
HIVEP3,138,65,111,147
GUCA2B,0,0,0,0
GUCA2A,0,0,0,2
FOXJ3,746,451,794,694
RIMKLA,9,22,9,9
ZMYND12,20,13,8,10
PPCS,437,279,359,345
CCDC30,30,17,81,70
PPIH,124,40,151,139
YBX1,3476,3450,2847,2770
CLDN19,4,2,0,3
P3H1,331,455,168,136
C1orf50,41,41,33,36
TMEM269,0,0,13,11
SVBP,77,40,31,22
ERMAP,282,110,170,153
ZNF691,92,47,52,54
LOC339539,0,0,0,0
SLC2A1,845,729,924,919
SLC2A1-AS1,2,1,0,0
NA,0,2,0,0
FAM183A,8,1,28,33
EBNA1BP2,399,250,204,222
MIR6733,0,0,0,0
CFAP57,16,6,12,12
TMEM125,53,4,8,10
C1orf210,60,9,16,9
TIE1,180,527,19,41
MPL,6,8,21,10
CDC20,113,50,76,53
ELOVL1,770,509,426,478
MIR6734,0,0,2,1
MED8,198,193,72,65
SZT2,500,367,1618,1543
MIR6735,0,0,0,0
HYI,0,2,0,0
PTPRF,2705,1022,3337,3078
KDM4A,671,461,888,884
KDM4A-AS1,4,0,2,0
ST3GAL3,55,134,168,184
ST3GAL3-AS1,0,0,2,2
MIR6079,0,0,0,0
ARTN,4,7,4,0
IPO13,274,331,202,227
DPH2,221,169,58,41
ATP6V0B,506,406,170,179
B4GALT2,224,432,158,122
CCDC24,75,52,94,94
SLC6A9,73,110,23,35
KLF17,5,17,0,0
KLF18,0,0,0,0
DMAP1,186,150,122,129
ERI3,231,267,160,191
ERI3-IT1,9,2,2,2
RNF220,426,442,255,218
MIR5584,0,0,0,0
TMEM53,56,30,2,16
ARMH1,17,15,4,8
RNU5F-1,0,1,4,0
RNU5D-1,0,1,0,0
KIF2C,95,30,117,141
RPS8,8583,4997,1977,1943
SNORD55,0,0,1,3
SNORD46,0,0,11,28
SNORD38A,4,1,9,12
SNORD38B,1,3,2,7
BEST4,3,2,2,1
PLK3,114,212,169,218
DYNLT4,1,2,2,2
BTBD19,11,26,38,48
PTCH2,10,98,13,14
EIF2B3,179,161,245,252
HECTD3,493,464,359,276
UROD,299,306,340,303
ZSWIM5,36,58,66,78
LINC01144,8,1,0,0
HPDL,7,4,6,0
MUTYH,99,68,223,232
TOE1,77,84,84,80
TESK2,101,101,99,90
CCDC163,37,31,11,6
MMACHC,64,48,41,32
PRDX1,2047,1512,643,647
AKR1A1,722,576,269,277
NASP,676,566,1040,1000
CCDC17,4,13,80,57
GPBP1L1,1386,1052,760,730
RPS15AP10,3,0,15,9
TMEM69,401,220,165,213
IPP,157,93,206,221
MAST2,315,698,574,515
PIK3R3,729,549,366,372
LOC101929626,0,0,0,0
TSPAN1,650,623,382,381
POMGNT1,543,347,993,1016
LURAP1,5,13,0,0
RAD54L,28,11,258,279
LRRC41,623,698,304,311
UQCRH,752,370,430,458
NSUN4,308,190,119,121
FAAH,198,99,468,519
FAAHP1,1,2,0,0
LINC01398,0,0,0,0
DMBX1,0,0,0,0
MKNK1-AS1,5,0,4,3
KNCN,0,0,0,0
MKNK1,322,271,366,360
MOB3C,271,227,179,170
ATPAF1,372,315,140,133
TEX38,0,0,25,52
EFCAB14-AS1,1,0,5,2
EFCAB14,2520,1450,1193,1039
CYP4B1,1267,481,551,555
CYP4Z2P,22,10,326,309
CYP4A11,0,0,275,229
CYP4X1,83,65,242,218
CYP4Z1,0,5,66,81
CYP4A22,0,0,23,50
LINC00853,0,0,0,0
PDZK1IP1,281,90,8,6
TAL1,37,74,2,4
STIL,70,59,368,349
CMPK1,2023,1697,652,650
LINC01389,0,1,0,0
FOXE3,0,0,0,0
FOXD2-AS1,8,8,0,0
FOXD2,12,1,12,30
TRABD2B,94,75,2,0
SKINT1L,0,0,0,0
SLC5A9,7,11,37,38
SPATA6,133,103,246,259
AGBL4,2,0,9,8
BEND5,25,33,32,37
AGBL4-AS1,0,0,0,0
AGBL4-IT1,0,0,0,0
ELAVL4,0,2,2,3
DMRTA2,2,2,0,0
FAF1,361,361,781,725
CDKN2C,118,124,52,52
MIR4421,0,1,0,0
MIR6500,0,0,0,0
C1orf185,0,0,2,4
RNF11,1317,1206,316,309
TTC39A,171,91,130,158
TTC39A-AS1,0,0,2,1
EPS15,1191,950,1552,1686
OSBPL9,949,575,1261,1329
NRDC,1346,1007,2341,2352
MIR761,0,0,0,0
RAB3B,42,6,0,6
TXNDC12,615,465,313,302
KTI12,0,0,0,0
TXNDC12-AS1,0,0,0,0
BTF3L4,696,399,191,177
ZFYVE9,590,226,931,890
CC2D1B,392,278,328,279
ORC1,44,18,96,106
PRPF38A,450,327,337,352
TUT4,600,382,2363,2072
NA,1,0,0,0
GPX7,141,98,16,18
SHISAL2A,2,4,4,2
COA7,140,93,68,48
ZYG11B,629,441,401,391
ZYG11A,3,6,20,24
ECHDC2,370,229,534,548
SCP2,1993,1174,1971,1971
NA,0,0,0,0
NA,0,0,0,0
NA,0,0,0,0
PODN,641,2048,44,44
SLC1A7,18,47,10,2
CPT2,337,260,506,458
CZIB,263,293,42,36
MAGOH,211,92,361,402
LOC100507564,6,2,0,0
LRP8,63,45,230,183
SLC25A3P1,0,0,0,0
DMRTB1,0,0,0,0
GLIS1,12,21,0,0
NA,0,0,0,0
NDC1,388,171,419,286
YIPF1,364,233,199,163
DIO1,0,0,21,20
HSPB11,175,90,285,292
LRRC42,249,181,191,162
LDLRAD1,0,0,0,0
TMEM59,3112,1640,1546,1482
TCEANC2,195,90,49,33
MIR4781,0,0,0,0
CDCP2,0,2,0,0
CYB5RL,70,36,14,18
MRPL37,357,357,224,183
SSBP3,166,286,235,198
SSBP3-AS1,11,11,2,1
ACOT11,162,86,220,195
FAM151A,6,2,25,29
MROH7,1,1,7,16
MROH7-TTC4,0,0,9,4
TTC4,7,6,3,3
PARS2,74,23,16,7
TTC22,108,53,92,92
LEXM,1,0,4,2
DHCR24,530,244,240,256
NA,0,0,0,0
TMEM61,0,6,2,0
BSND,0,0,0,0
PCSK9,6,22,0,0
USP24,1097,578,2932,3085
LOC100507634,4,2,0,0
MIR4422,0,0,0,0
PLPP3,1361,2213,125,133
PRKAA2,80,101,37,30
FYB2,2,0,6,0
C8A,0,0,0,0
C8B,2,0,0,0
DAB1,11,6,14,8
DAB1-AS1,0,0,0,0
OMA1,225,166,394,429
